,SPY,EFA,EEM,TLT,LQD
2003-04-14,61.378151,18.64402,7.911395,46.239758,48.859913
2003-04-15,61.95089,18.899652,8.005392,46.48951,48.949291
2003-04-16,60.895111,18.774763,8.097818,46.680801,49.280087
2003-04-17,61.799095,19.046013,8.155784,46.755188,49.177246
2003-04-21,61.861168,18.979662,8.152649,46.65419,49.280087
2003-04-22,63.027283,19.254816,8.180068,46.627666,49.30238
2003-04-23,63.606972,19.424585,8.218449,46.723328,49.588482
2003-04-24,63.041084,19.272379,8.056306,47.143082,49.879044
2003-04-25,62.261414,18.930878,7.923142,47.249378,49.883522
2003-04-28,63.337845,19.26652,8.053956,47.174988,49.91032
2003-04-29,63.558643,19.37776,8.283463,47.09528,49.731544
2003-04-30,63.420635,19.477282,8.259964,47.531006,50.084648
2003-05-01,63.413746,19.557287,8.227848,47.553967,50.365219
2003-05-02,64.31768,19.727068,8.35396,47.180008,50.194118
2003-05-05,64.193489,19.877317,8.444042,47.431068,50.419281
2003-05-06,64.800735,20.296875,8.487123,47.666119,50.684978
2003-05-07,64.441902,20.109541,8.471457,48.221687,51.02277
2003-05-08,63.793259,19.807064,8.397041,48.33923,51.027275
2003-05-09,64.676514,20.056854,8.49574,48.387314,50.937195
2003-05-12,65.470016,20.216869,8.614018,48.691818,51.112808
2003-05-13,65.352707,20.21492,8.565454,48.798656,51.117363
2003-05-14,65.214691,20.220781,8.522371,49.546524,51.342552
2003-05-15,65.628754,20.255898,8.539604,49.701431,51.324512
2003-05-16,65.463165,20.50569,8.54587,50.064667,51.666794
2003-05-19,63.931267,19.951477,8.342211,49.893776,51.455143
2003-05-20,63.800175,20.150522,8.383722,50.630909,51.612751
2003-05-21,63.931267,19.941719,8.390776,50.625576,51.612751
2003-05-22,64.566071,20.209061,8.466756,51.074287,51.959526
2003-05-23,64.697174,20.324202,8.5537,51.202496,52.03159
2003-05-27,65.828865,20.499826,8.859977,50.278358,51.851471
2003-05-28,66.015137,20.597406,8.898356,50.192863,51.644283
2003-05-29,65.842628,20.694969,8.910106,50.630909,52.018101
2003-05-30,66.898407,20.734005,9.013506,50.534756,52.040588
2003-06-02,67.1744,20.927195,9.078519,50.163548,51.819939
2003-06-03,67.450401,20.977928,9.009587,50.565838,52.295712
2003-06-04,68.42337,21.104773,9.125515,50.71608,52.36375
2003-06-05,68.761482,21.31748,9.134915,50.319107,52.277588
2003-06-06,68.492363,21.44628,9.220298,50.501472,52.36375
2003-06-09,67.795418,21.292109,9.141183,50.839508,52.476986
